Description: caramelo
Condition: Indoor with open windows
Environment: Urban
Source: Voice
Weather: Cloudy
Feeling: Neither good, no bad
Appropriate: Moderately
Reason: Other reason
Coordinates: -23.560224,-46.729892
Calibration: 24 dBA
Measure start: 2024-10-14 14:48:46
Measure stop: 2024-10-14 14:49:44
Duration: 00:00:58
LAeq(t): 59.3 dBA
Cloud: Yes
===



Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;14:48:46;58.6;58.9;START;62.8;62.9;34.2;38.6;45.0;44.6;48.6;46.2;50.5;44.3;44.3;50.4;49.0;49.1;51.1;52.0;51.9;54.6;54.7;50.5;46.8;45.9;46.4;43.7;42.3;38.6;36.4;32.1;31.4;29.1;23.4;20.7;22.6;19.7;34.2;38.6;45.0;44.6;48.6;46.2;50.5;44.3;44.3;50.4;49.0;49.1;51.1;52.0;51.9;54.6;54.7;50.5;46.8;45.9;46.4;43.7;42.3;38.6;36.4;32.1;31.4;29.1;23.4;20.7;22.6;19.7
2024-10-14;14:48:47;58.7;59.0;;63.0;63.3;30.3;36.8;42.6;44.9;49.4;51.8;50.6;42.2;43.7;48.2;49.7;48.0;51.7;51.9;52.2;56.4;53.3;50.7;47.6;46.9;45.5;43.8;42.0;40.5;38.8;35.2;34.3;35.2;29.3;24.5;26.2;21.5;30.3;36.8;42.6;44.6;48.6;46.2;50.5;42.2;43.7;48.2;49.0;48.0;51.1;51.9;51.9;54.6;53.3;50.5;46.8;45.9;45.5;43.7;42.0;38.6;36.4;32.1;31.4;29.1;23.4;20.7;22.6;19.7
2024-10-14;14:48:48;58.9;59.2;;63.1;63.3;37.5;39.6;44.9;41.4;48.4;53.4;51.0;45.1;44.1;49.3;50.5;49.6;50.6;50.8;53.4;53.4;52.1;49.9;45.2;45.2;45.8;43.5;40.5;38.2;35.9;53.1;33.1;34.3;34.7;23.2;24.6;18.2;30.3;36.8;42.6;41.4;48.4;46.2;50.5;42.2;43.7;48.2;49.0;48.0;50.6;50.8;51.9;53.4;52.1;49.9;45.2;45.2;45.5;43.5;40.5;38.2;35.9;32.1;31.4;29.1;23.4;20.7;22.6;18.2
2024-10-14;14:48:49;58.7;58.3;;63.0;62.7;32.2;38.6;39.3;44.8;45.0;50.0;50.7;42.3;44.7;47.8;47.4;51.1;51.5;54.8;52.9;51.7;51.5;48.6;46.3;45.4;45.6;43.0;39.6;37.8;35.5;50.1;31.1;29.5;24.2;20.9;22.0;19.5;30.3;36.8;39.3;41.4;45.0;46.2;50.5;42.2;43.7;47.8;47.4;48.0;50.6;50.8;51.9;51.7;51.5;48.6;45.2;45.2;45.5;43.0;39.6;37.8;35.5;32.1;31.1;29.1;23.4;20.7;22.0;18.2
2024-10-14;14:48:50;58.5;57.0;;62.7;61.4;30.3;38.9;41.4;44.8;45.0;46.1;47.9;43.9;47.0;48.0;47.1;48.1;51.2;52.5;50.5;51.2;51.8;48.3;46.9;46.8;43.2;40.8;40.4;38.7;35.9;33.2;30.9;27.4;21.3;18.5;21.5;17.8;30.3;36.8;39.3;41.4;45.0;46.1;47.9;42.2;43.7;47.8;47.1;48.0;50.6;50.8;50.5;51.2;51.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.8
2024-10-14;14:48:51;58.4;57.8;;62.5;61.6;30.1;36.9;41.4;42.9;43.7;46.6;47.7;45.0;48.3;48.3;47.2;46.9;49.5;51.2;50.5;53.0;52.5;50.6;48.0;45.3;43.8;43.1;41.4;41.4;38.0;34.2;30.9;28.6;21.9;19.3;22.3;17.5;30.1;36.8;39.3;41.4;43.7;46.1;47.7;42.2;43.7;47.8;47.1;46.9;49.5;50.8;50.5;51.2;51.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.5
2024-10-14;14:48:52;58.4;58.2;;62.5;61.9;35.1;38.5;41.6;42.9;45.9;48.6;50.5;44.7;44.1;47.0;46.8;48.3;50.9;49.6;51.8;52.4;53.4;50.1;47.4;48.0;45.8;43.3;41.9;40.3;37.5;34.6;32.2;29.8;22.5;20.6;22.6;21.1;30.1;36.8;39.3;41.4;43.7;46.1;47.7;42.2;43.7;47.0;46.8;46.9;49.5;49.6;50.5;51.2;51.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.5
2024-10-14;14:48:53;58.3;57.6;;62.4;62.0;35.7;40.9;46.0;46.4;46.4;47.8;50.1;45.9;45.7;49.3;48.9;48.2;49.8;52.2;51.1;51.7;50.5;49.8;48.0;46.3;46.9;43.1;42.1;41.1;38.2;35.1;33.2;31.2;25.3;22.5;27.3;22.7;30.1;36.8;39.3;41.4;43.7;46.1;47.7;42.2;43.7;47.0;46.8;46.9;49.5;49.6;50.5;51.2;50.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.5
2024-10-14;14:48:54;58.8;62.1;;63.4;67.9;31.7;36.3;41.4;38.9;49.6;48.2;55.0;53.5;51.2;61.5;57.3;57.6;56.5;57.5;55.6;55.4;55.0;54.1;53.0;51.4;49.5;46.6;44.2;42.5;40.3;37.4;34.9;34.6;29.4;25.2;26.8;25.1;30.1;36.3;39.3;38.9;43.7;46.1;47.7;42.2;43.7;47.0;46.8;46.9;49.5;49.6;50.5;51.2;50.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.5
2024-10-14;14:48:55;58.8;58.7;;63.4;63.9;32.8;36.9;40.0;42.4;48.0;48.0;50.1;48.1;48.4;56.0;53.0;51.8;52.9;51.2;54.3;53.4;51.7;51.3;48.9;47.5;46.0;42.7;41.6;39.2;36.5;33.5;32.8;34.2;29.8;23.4;23.5;20.1;30.1;36.3;39.3;38.9;43.7;46.1;47.7;42.2;43.7;47.0;46.8;46.9;49.5;49.6;50.5;51.2;50.5;48.3;45.2;45.2;43.2;40.8;39.6;37.8;35.5;32.1;30.9;27.4;21.3;18.5;21.5;17.5
