Description:  
Condition:  
Environment:  
Source:  
Weather:  
Feeling: Neither good, no bad 
Appropriate: Moderately 
Reason:  
Coordinates: No data, No data 
Calibration: 24 dBA 
Measure start: 2024-10-14 15:20:59 
Measure stop: 2024-10-14 15:21:58 
Duration: 00:00:59 
LAeq(t): 51.5 dBA 
Cloud: No 
===
Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:20:59;54.7;55.7;START;70.9;72.0;52.5;55.0;58.7;57.7;63.8;63.6;66.3;62.4;62.1;58.4;54.7;49.5;47.6;47.4;47.1;46.7;45.0;42.7;42.8;43.8;41.2;40.8;42.7;38.9;38.8;39.1;40.9;43.8;44.8;41.3;47.0;42.0;52.5;55.0;58.7;57.7;63.8;63.6;66.3;62.4;62.1;58.4;54.7;49.5;47.6;47.4;47.1;46.7;45.0;42.7;42.8;43.8;41.2;40.8;42.7;38.9;38.8;39.1;40.9;43.8;44.8;41.3;47.0;42.0
2024-10-14;15:21:00;54.8;54.9;;70.8;70.5;49.1;56.9;48.9;58.8;63.1;60.5;63.3;63.4;60.3;57.6;54.0;51.0;47.4;46.0;44.6;45.6;43.5;42.6;41.8;41.7;40.7;42.9;43.8;37.3;35.3;36.9;38.5;41.2;44.2;41.4;44.8;38.7;49.1;55.0;48.9;57.7;63.1;60.5;63.3;62.4;60.3;57.6;54.0;49.5;47.4;46.0;44.6;45.6;43.5;42.6;41.8;41.7;40.7;40.8;42.7;37.3;35.3;36.9;38.5;41.2;44.2;41.3;44.8;38.7
2024-10-14;15:21:01;54.1;51.8;;69.9;66.9;48.6;55.7;56.8;56.8;59.8;59.8;56.9;54.2;54.5;53.2;49.5;45.8;44.4;44.1;42.5;43.5;42.0;40.3;39.6;38.2;37.1;37.3;37.7;35.5;35.1;35.3;37.2;41.2;43.5;38.5;43.3;36.2;48.6;55.0;48.9;56.8;59.8;59.8;56.9;54.2;54.5;53.2;49.5;45.8;44.4;44.1;42.5;43.5;42.0;40.3;39.6;38.2;37.1;37.3;37.7;35.5;35.1;35.3;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:02;53.7;51.6;;69.2;63.3;41.2;48.4;46.2;46.3;53.7;56.0;56.2;52.9;53.6;51.7;48.0;44.8;47.2;42.8;42.8;43.6;43.1;39.1;37.4;38.2;36.6;35.9;39.0;34.0;34.6;35.1;37.4;41.6;43.6;39.1;43.8;36.3;41.2;48.4;46.2;46.3;53.7;56.0;56.2;52.9;53.6;51.7;48.0;44.8;44.4;42.8;42.5;43.5;42.0;39.1;37.4;38.2;36.6;35.9;37.7;34.0;34.6;35.1;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:03;53.4;51.7;;69.0;67.9;48.0;46.6;54.9;52.8;61.0;62.8;60.4;53.6;56.2;54.0;49.2;45.8;43.2;41.7;43.3;43.2;43.8;40.7;38.3;37.3;36.6;35.0;34.8;33.4;33.7;34.7;37.7;41.6;43.9;39.2;44.0;36.7;41.2;46.6;46.2;46.3;53.7;56.0;56.2;52.9;53.6;51.7;48.0;44.8;43.2;41.7;42.5;43.2;42.0;39.1;37.4;37.3;36.6;35.0;34.8;33.4;33.7;34.7;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:04;53.2;52.3;;68.5;64.1;40.5;47.9;52.2;52.4;53.9;55.4;55.5;50.5;54.1;56.4;47.9;45.4;43.6;44.1;44.4;44.6;42.2;38.8;38.5;36.9;35.6;38.2;36.1;35.2;34.3;36.5;39.2;43.0;45.3;41.7;45.8;38.6;40.5;46.6;46.2;46.3;53.7;55.4;55.5;50.5;53.6;51.7;47.9;44.8;43.2;41.7;42.5;43.2;42.0;38.8;37.4;36.9;35.6;35.0;34.8;33.4;33.7;34.7;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:05;53.1;52.2;;68.1;62.5;37.4;45.8;46.7;53.9;51.7;53.1;54.1;46.4;53.0;53.9;46.1;42.8;43.7;42.7;44.6;45.0;44.2;39.8;38.7;37.3;35.8;38.7;35.1;35.1;34.9;35.7;38.1;42.4;45.3;40.5;45.9;38.4;37.4;45.8;46.2;46.3;51.7;53.1;54.1;46.4;53.0;51.7;46.1;42.8;43.2;41.7;42.5;43.2;42.0;38.8;37.4;36.9;35.6;35.0;34.8;33.4;33.7;34.7;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:06;53.0;51.7;;67.7;61.7;40.8;44.4;44.4;51.9;52.2;50.3;52.9;50.0;51.4;52.6;49.0;44.0;43.3;43.6;44.8;44.9;42.1;39.2;38.4;37.1;36.8;35.3;36.4;33.5;33.2;35.3;37.9;42.1;44.7;40.1;45.2;37.9;37.4;44.4;44.4;46.3;51.7;50.3;52.9;46.4;51.4;51.7;46.1;42.8;43.2;41.7;42.5;43.2;42.0;38.8;37.4;36.9;35.6;35.0;34.8;33.4;33.2;34.7;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:07;52.8;51.2;;67.5;65.7;45.7;53.6;51.9;43.7;58.2;59.3;57.8;53.7;54.7;55.4;47.0;44.9;42.5;41.6;42.6;43.2;41.3;39.2;36.8;35.7;36.0;34.3;35.7;34.0;34.1;35.4;37.7;41.6;44.1;39.8;44.7;37.3;37.4;44.4;44.4;43.7;51.7;50.3;52.9;46.4;51.4;51.7;46.1;42.8;42.5;41.6;42.5;43.2;41.3;38.8;36.8;35.7;35.6;34.3;34.8;33.4;33.2;34.7;37.2;41.2;43.5;38.5;43.3;36.2
2024-10-14;15:21:08;52.8;52.4;;67.1;60.3;40.8;37.7;43.3;45.9;47.3;52.3;50.8;50.5;49.1;48.1;47.6;46.3;44.0;42.3;44.1;43.4;41.5;40.4;38.3;37.6;38.8;40.1;36.7;36.2;36.3;37.3;39.4;43.3;45.4;41.1;46.0;39.1;37.4;37.7;43.3;43.7;47.3;50.3;50.8;46.4;49.1;48.1;46.1;42.8;42.5;41.6;42.5;43.2;41.3;38.8;36.8;35.7;35.6;34.3;34.8;33.4;33.2;34.7;37.2;41.2;43.5;38.5;43.3;36.2
