Descrizione: 
Condizione: Al chiuso con finestre aperte
Ambiente: Urbano
Sorgente: Voce
Meteo: Nuvoloso
Sensazione: Molto buono
Appropriato: Perfettamente
Motivo: Studio
Coordinate: -23.560204,-46.729826
Calibrazione: 24 dBA
Inizio misura: 2024-10-14 15:06:31
Fine misura: 2024-10-14 15:07:36
Durata: 00:01:05
LAeq(t): 59.9 dBA
Cloud: Si
===




Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:06:31;61.5;62.1;START;65.1;65.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-14;15:06:32;61.1;60.6;;65.0;64.9;33.2;36.1;39.6;40.2;46.6;51.3;48.6;49.5;48.6;52.3;49.6;52.7;54.8;55.4;55.4;56.9;53.6;52.3;48.9;49.6;48.3;46.2;42.0;40.5;38.2;34.9;32.3;32.3;26.6;22.8;21.7;16.5;33.2;36.1;39.6;40.2;46.6;51.3;48.6;49.5;48.6;52.3;49.6;52.7;54.8;55.4;55.4;56.9;53.6;52.3;48.9;49.6;48.3;46.2;42.0;40.5;38.2;34.9;32.3;32.3;26.6;22.8;21.7;16.5
2024-10-14;15:06:33;61.3;61.7;;65.4;66.1;33.4;35.6;41.7;41.2;47.5;51.7;52.7;51.5;48.9;48.1;49.1;52.7;57.6;56.3;58.0;56.7;55.9;53.3;49.3;49.7;48.3;46.7;43.5;43.1;40.7;36.3;34.7;32.5;28.9;25.1;23.5;20.6;33.2;35.6;39.6;40.2;46.6;51.3;48.6;49.5;48.6;48.1;49.1;52.7;54.8;55.4;55.4;56.7;53.6;52.3;48.9;49.6;48.3;46.2;42.0;40.5;38.2;34.9;32.3;32.3;26.6;22.8;21.7;16.5
2024-10-14;15:06:34;61.2;60.9;;65.3;65.1;35.4;42.2;45.7;50.6;46.4;48.5;52.7;51.6;48.8;47.5;49.2;51.9;54.9;53.9;56.7;56.0;55.3;51.8;49.6;50.5;48.0;45.7;43.4;43.0;39.1;36.3;36.6;34.5;30.2;26.4;24.8;18.5;33.2;35.6;39.6;40.2;46.4;48.5;48.6;49.5;48.6;47.5;49.1;51.9;54.8;53.9;55.4;56.0;53.6;51.8;48.9;49.6;48.0;45.7;42.0;40.5;38.2;34.9;32.3;32.3;26.6;22.8;21.7;16.5
2024-10-14;15:06:35;61.0;59.9;;65.1;64.3;35.2;43.1;48.1;46.9;49.6;48.8;50.1;47.7;47.9;50.1;50.5;51.1;52.2;53.1;56.1;55.4;54.6;50.6;48.2;48.3;47.2;45.2;42.4;41.1;37.7;36.8;36.1;37.0;33.3;28.2;24.7;19.9;33.2;35.6;39.6;40.2;46.4;48.5;48.6;47.7;47.9;47.5;49.1;51.1;52.2;53.1;55.4;55.4;53.6;50.6;48.2;48.3;47.2;45.2;42.0;40.5;37.7;34.9;32.3;32.3;26.6;22.8;21.7;16.5
2024-10-14;15:06:36;60.7;59.1;;64.9;63.9;33.6;41.3;47.0;44.3;48.1;47.1;48.7;48.8;49.3;51.7;53.2;51.3;52.4;54.2;54.2;53.9;53.3;50.2;48.6;46.9;45.8;44.3;42.6;40.7;37.7;35.3;35.5;32.4;28.1;22.9;21.0;15.1;33.2;35.6;39.6;40.2;46.4;47.1;48.6;47.7;47.9;47.5;49.1;51.1;52.2;53.1;54.2;53.9;53.3;50.2;48.2;46.9;45.8;44.3;42.0;40.5;37.7;34.9;32.3;32.3;26.6;22.8;21.0;15.1
2024-10-14;15:06:37;60.7;60.7;;64.9;64.2;33.8;42.1;38.9;41.0;45.3;44.6;48.2;47.6;43.1;50.8;49.9;51.4;52.2;54.6;54.8;56.9;54.0;53.0;49.5;48.2;49.1;46.8;43.4;41.6;39.1;37.7;39.0;37.7;35.4;32.8;30.6;19.6;33.2;35.6;38.9;40.2;45.3;44.6;48.2;47.6;43.1;47.5;49.1;51.1;52.2;53.1;54.2;53.9;53.3;50.2;48.2;46.9;45.8;44.3;42.0;40.5;37.7;34.9;32.3;32.3;26.6;22.8;21.0;15.1
2024-10-14;15:06:38;60.5;58.7;;64.7;63.7;37.9;39.6;46.7;49.7;48.5;48.1;50.2;47.8;43.6;48.7;48.0;50.7;55.0;53.3;56.5;53.1;52.8;48.3;46.7;46.8;45.3;43.0;41.2;38.7;36.4;35.5;34.7;33.0;27.8;24.2;22.7;17.6;33.2;35.6;38.9;40.2;45.3;44.6;48.2;47.6;43.1;47.5;48.0;50.7;52.2;53.1;54.2;53.1;52.8;48.3;46.7;46.8;45.3;43.0;41.2;38.7;36.4;34.9;32.3;32.3;26.6;22.8;21.0;15.1
2024-10-14;15:06:39;60.5;60.2;;64.7;64.1;32.9;35.2;41.6;43.5;43.5;48.5;48.4;46.0;43.4;51.2;48.7;50.9;55.5;54.3;55.9;53.8;53.0;50.8;49.4;51.8;47.5;44.7;43.6;41.7;40.6;36.2;36.0;35.1;28.6;26.9;22.7;18.7;32.9;35.2;38.9;40.2;43.5;44.6;48.2;46.0;43.1;47.5;48.0;50.7;52.2;53.1;54.2;53.1;52.8;48.3;46.7;46.8;45.3;43.0;41.2;38.7;36.4;34.9;32.3;32.3;26.6;22.8;21.0;15.1
2024-10-14;15:06:40;60.4;59.9;;64.6;63.7;30.0;35.5;41.4;36.2;45.6;49.3;48.9;44.1;45.8;47.1;49.5;52.0;54.6;52.4;56.1;54.1;52.1;49.4;49.2;49.0;48.5;46.9;46.0;44.7;40.7;36.5;34.5;32.2;26.4;22.4;20.4;16.0;30.0;35.2;38.9;36.2;43.5;44.6;48.2;44.1;43.1;47.1;48.0;50.7;52.2;52.4;54.2;53.1;52.1;48.3;46.7;46.8;45.3;43.0;41.2;38.7;36.4;34.9;32.3;32.2;26.4;22.4;20.4;15.1
