Descrizione: 
Condizione: All'aperto
Ambiente: Urbano
Sorgente: Natura
Meteo: Nuvoloso
Sensazione: Molto buono
Appropriato: Perfettamente
Motivo: Studio
Coordinate: -23.560375,-46.730284
Calibrazione: 24 dBA
Inizio misura: 2024-10-14 15:21:00
Fine misura: 2024-10-14 15:22:01
Durata: 00:01:01
LAeq(t): 52.4 dBA
Cloud: Si
===


Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:21:00;56.3;53.9;START;74.7;72.1;55.0;58.0;59.1;59.1;62.3;66.0;64.8;62.7;61.9;58.5;53.3;49.9;49.8;46.3;46.5;45.6;43.0;43.0;41.7;40.9;39.1;38.7;39.8;36.3;35.5;35.2;35.5;34.7;32.1;30.2;29.6;26.7;55.0;58.0;59.1;59.1;62.3;66.0;64.8;62.7;61.9;58.5;53.3;49.9;49.8;46.3;46.5;45.6;43.0;43.0;41.7;40.9;39.1;38.7;39.8;36.3;35.5;35.2;35.5;34.7;32.1;30.2;29.6;26.7
2024-10-14;15:21:01;54.8;52.6;;73.8;72.6;56.1;57.5;61.3;62.3;66.5;66.1;63.5;61.0;60.0;59.2;53.5;48.0;47.4;44.9;44.6;45.4;42.5;39.7;39.3;38.9;38.3;38.0;36.7;34.9;33.8;33.6;34.0;33.4;30.7;28.1;26.8;21.9;55.0;57.5;59.1;59.1;62.3;66.0;63.5;61.0;60.0;58.5;53.3;48.0;47.4;44.9;44.6;45.4;42.5;39.7;39.3;38.9;38.3;38.0;36.7;34.9;33.8;33.6;34.0;33.4;30.7;28.1;26.8;21.9
2024-10-14;15:21:02;54.1;51.4;;72.8;68.5;48.7;53.5;56.4;58.9;63.0;59.4;59.6;58.0;56.0;53.9;50.7;48.5;48.9;44.2;42.9;44.9;43.7;39.2;38.7;37.1;37.9;37.6;38.3;35.5;33.2;32.5;32.8;32.4;29.2;26.7;24.8;18.3;48.7;53.5;56.4;58.9;62.3;59.4;59.6;58.0;56.0;53.9;50.7;48.0;47.4;44.2;42.9;44.9;42.5;39.2;38.7;37.1;37.9;37.6;36.7;34.9;33.2;32.5;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:03;53.5;51.2;;71.8;65.7;47.5;52.1;50.1;58.4;57.5;59.5;56.7;50.8;51.3;51.7;48.5;46.4;47.5;46.0;45.3;44.2;43.7;41.5;38.6;38.4;37.2;37.1;38.4;34.3;33.5;33.4;33.8;33.2;30.1;27.8;25.9;21.2;47.5;52.1;50.1;58.4;57.5;59.4;56.7;50.8;51.3;51.7;48.5;46.4;47.4;44.2;42.9;44.2;42.5;39.2;38.6;37.1;37.2;37.1;36.7;34.3;33.2;32.5;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:04;53.1;51.0;;71.1;64.4;42.6;51.5;51.2;55.3;55.3;53.5;54.3;50.7;57.5;53.7;49.8;47.2;45.7;44.8;45.2;44.8;43.7;40.9;39.0;37.4;36.1;36.7;34.6;32.9;32.3;32.3;33.1;32.8;30.0;27.9;26.4;21.0;42.6;51.5;50.1;55.3;55.3;53.5;54.3;50.7;51.3;51.7;48.5;46.4;45.7;44.2;42.9;44.2;42.5;39.2;38.6;37.1;36.1;36.7;34.6;32.9;32.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:05;53.0;51.7;;70.6;65.8;47.7;49.9;49.2;54.3;55.0;57.4;58.3;52.2;57.7;57.8;49.7;48.0;46.1;46.4;45.3;45.7;44.0;38.8;39.5;37.0;36.3;39.1;35.3;34.5;33.4;33.7;34.2;33.9;31.2;28.7;27.2;22.1;42.6;49.9;49.2;54.3;55.0;53.5;54.3;50.7;51.3;51.7;48.5;46.4;45.7;44.2;42.9;44.2;42.5;38.8;38.6;37.0;36.1;36.7;34.6;32.9;32.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:06;52.8;51.4;;70.1;64.1;52.0;47.9;53.3;49.3;54.1;53.5;57.0;51.8;55.0;54.6;46.1;44.5;45.9;45.2;46.1;46.2;44.6;40.2;40.2;37.4;36.3;38.4;34.4;33.6;32.6;32.3;33.5;33.1;30.3;27.8;26.3;19.6;42.6;47.9;49.2;49.3;54.1;53.5;54.3;50.7;51.3;51.7;46.1;44.5;45.7;44.2;42.9;44.2;42.5;38.8;38.6;37.0;36.1;36.7;34.4;32.9;32.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:07;52.6;50.8;;69.6;61.5;44.0;46.3;46.5;48.0;52.2;48.8;52.8;51.1;52.7;52.7;47.6;45.4;45.6;45.4;45.1;45.9;44.3;39.5;38.7;37.5;35.3;35.4;37.0;33.2;31.3;32.4;33.3;33.1;30.3;30.4;28.1;19.6;42.6;46.3;46.5;48.0;52.2;48.8;52.8;50.7;51.3;51.7;46.1;44.5;45.6;44.2;42.9;44.2;42.5;38.8;38.6;37.0;35.3;35.4;34.4;32.9;31.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:08;52.4;50.4;;69.2;62.3;38.8;41.8;46.0;48.3;52.2;49.7;55.4;51.8;53.4;55.0;48.2;44.9;46.4;44.7;43.9;44.8;42.5;38.8;37.9;36.8;36.7;35.2;35.7;34.2;32.5;32.7;33.4;33.0;30.1;27.4;26.2;19.6;38.8;41.8;46.0;48.0;52.2;48.8;52.8;50.7;51.3;51.7;46.1;44.5;45.6;44.2;42.9;44.2;42.5;38.8;37.9;36.8;35.3;35.2;34.4;32.9;31.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
2024-10-14;15:21:09;52.3;51.8;;68.8;62.3;41.2;44.4;48.1;51.8;53.8;51.9;54.2;52.8;49.7;52.1;48.4;45.8;45.4;46.4;45.2;44.8;44.4;41.1;39.7;39.1;40.1;40.4;36.7;36.1;35.2;34.7;34.8;34.1;30.8;28.9;27.6;20.6;38.8;41.8;46.0;48.0;52.2;48.8;52.8;50.7;49.7;51.7;46.1;44.5;45.4;44.2;42.9;44.2;42.5;38.8;37.9;36.8;35.3;35.2;34.4;32.9;31.3;32.3;32.8;32.4;29.2;26.7;24.8;18.3
