Description: 
Condition: Outdoor
Environment: Urban
Source: Nature
Weather: Cloudy
Feeling: Very good
Appropriate: Very
Reason: Study
Coordinates: -23.560307,-46.730273
Calibration: 24 dBA
Measure start: 2024-10-14 15:21:02
Measure stop: 2024-10-14 15:22:01
Duration: 00:00:59
LAeq(t): 51.5 dBA
Cloud: Yes
===


Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:21:02;51.0;50.4;START;67.6;67.0;44.8;48.1;55.9;57.8;56.5;59.8;59.7;59.2;55.8;51.3;48.5;42.5;47.9;43.0;42.4;44.5;42.4;39.0;36.8;36.4;36.3;35.5;39.0;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3;44.8;48.1;55.9;57.8;56.5;59.8;59.7;59.2;55.8;51.3;48.5;42.5;47.9;43.0;42.4;44.5;42.4;39.0;36.8;36.4;36.3;35.5;39.0;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:03;50.8;50.7;;65.8;62.6;43.0;46.9;48.5;50.3;56.6;52.1;50.8;46.6;55.2;52.7;47.2;44.5;46.6;46.0;44.6;43.1;42.4;40.8;38.4;37.4;37.4;36.5;37.3;34.5;34.2;33.1;35.0;33.7;26.8;22.1;25.9;19.2;43.0;46.9;48.5;50.3;56.5;52.1;50.8;46.6;55.2;51.3;47.2;42.5;46.6;43.0;42.4;43.1;42.4;39.0;36.8;36.4;36.3;35.5;37.3;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:04;50.9;51.1;;65.1;62.6;39.6;45.5;48.1;51.7;53.8;53.7;54.0;49.3;52.8;53.9;45.5;44.1;47.0;44.8;46.1;45.5;43.9;40.9;39.5;36.4;35.6;37.5;35.8;34.9;34.4;34.0;35.7;34.4;28.2;24.6;29.4;22.8;39.6;45.5;48.1;50.3;53.8;52.1;50.8;46.6;52.8;51.3;45.5;42.5;46.6;43.0;42.4;43.1;42.4;39.0;36.8;36.4;35.6;35.5;35.8;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:05;51.0;51.3;;65.1;65.2;46.2;51.7;46.8;59.2;56.6;55.3;56.4;49.6;54.2;55.4;45.4;43.5;46.1;46.0;45.1;44.7;44.9;39.5;39.2;37.1;36.2;39.7;35.1;34.1;34.7;34.4;35.4;34.3;27.3;23.3;26.9;20.3;39.6;45.5;46.8;50.3;53.8;52.1;50.8;46.6;52.8;51.3;45.4;42.5;46.1;43.0;42.4;43.1;42.4;39.0;36.8;36.4;35.6;35.5;35.1;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:06;51.0;50.7;;64.7;62.1;45.0;47.4;49.4;50.4;52.5;51.7;54.1;50.1;52.0;53.6;46.4;43.0;44.0;43.7;45.3;44.6;44.5;40.2;39.4;38.4;36.1;37.1;34.6;33.2;33.8;33.4;35.3;34.2;27.7;23.0;26.9;19.9;39.6;45.5;46.8;50.3;52.5;51.7;50.8;46.6;52.0;51.3;45.4;42.5;44.0;43.0;42.4;43.1;42.4;39.0;36.8;36.4;35.6;35.5;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:07;50.9;50.7;;64.3;61.7;40.1;44.0;48.7;48.9;49.3;47.5;52.8;52.0;52.7;54.9;47.6;46.8;45.2;44.4;45.6;44.5;43.3;39.0;37.6;36.6;35.9;35.0;37.3;34.1;33.7;33.6;35.6;34.8;28.7;25.9;33.9;23.8;39.6;44.0;46.8;48.9;49.3;47.5;50.8;46.6;52.0;51.3;45.4;42.5;44.0;43.0;42.4;43.1;42.4;39.0;36.8;36.4;35.6;35.0;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:08;50.8;49.6;;64.0;61.5;44.3;41.4;49.1;46.0;52.6;52.1;52.6;49.9;49.0;55.2;46.0;42.6;45.7;43.0;42.7;43.5;41.3;39.0;36.6;36.5;36.1;38.0;34.9;33.1;33.0;32.7;34.2;32.4;25.9;20.9;25.4;17.6;39.6;41.4;46.8;46.0;49.3;47.5;50.8;46.6;49.0;51.3;45.4;42.5;44.0;43.0;42.4;43.1;41.3;39.0;36.6;36.4;35.6;35.0;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:09;50.8;51.1;;63.8;61.4;39.4;43.6;47.0;48.9;53.5;53.2;51.8;50.7;46.6;51.6;49.6;43.8;45.8;45.1;44.8;43.5;43.7;40.0;38.4;38.0;38.8;38.6;37.5;35.9;36.0;35.1;36.0;34.6;27.8;22.9;27.7;19.7;39.4;41.4;46.8;46.0;49.3;47.5;50.8;46.6;46.6;51.3;45.4;42.5;44.0;43.0;42.4;43.1;41.3;39.0;36.6;36.4;35.6;35.0;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:10;50.8;51.1;;63.6;61.8;42.1;43.6;42.0;50.4;52.6;54.4;55.5;51.5;47.5;45.8;46.6;43.0;46.3;46.3;46.0;45.3;45.4;39.7;37.6;37.1;36.9;35.8;36.8;34.7;34.5;34.0;35.7;34.5;27.7;23.9;30.5;22.4;39.4;41.4;42.0;46.0;49.3;47.5;50.8;46.6;46.6;45.8;45.4;42.5;44.0;43.0;42.4;43.1;41.3;39.0;36.6;36.4;35.6;35.0;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
2024-10-14;15:21:11;50.8;51.1;;63.4;61.5;41.2;47.6;48.5;48.7;50.7;52.7;55.3;50.0;49.2;49.7;47.1;44.4;45.7;45.7;43.0;45.6;43.3;41.5;39.2;37.0;37.1;35.3;40.9;34.2;33.2;32.6;35.6;32.5;25.8;22.4;26.4;20.5;39.4;41.4;42.0;46.0;49.3;47.5;50.8;46.6;46.6;45.8;45.4;42.5;44.0;43.0;42.4;43.1;41.3;39.0;36.6;36.4;35.6;35.0;34.6;32.9;32.3;31.4;33.0;31.3;24.3;19.6;23.6;16.3
