Description:  
Condition:  
Environment:  
Source:  
Weather:  
Feeling: Neither good, no bad 
Appropriate: Moderately 
Reason:  
Coordinates: No data, No data 
Calibration: 24 dBA 
Measure start: 2024-10-14 15:11:43 
Measure stop: 2024-10-14 15:12:40 
Duration: 00:00:57 
LAeq(t): 51.8 dBA 
Cloud: No 
===
Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:11:40;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:41;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:42;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:43;51.2;51.7;START;59.7;60.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-14;15:11:44;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:45;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:46;;;PAUSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-14;15:11:47;51.0;50.2;;59.4;58.0;29.5;32.7;42.4;42.9;46.9;45.2;47.7;48.2;47.2;46.0;49.5;44.5;45.2;44.3;43.2;45.0;42.0;38.6;39.5;37.6;37.6;37.3;36.0;31.7;30.5;28.6;29.2;36.0;37.5;25.7;29.8;24.4;29.5;32.7;42.4;42.9;46.9;45.2;47.7;48.2;47.2;46.0;49.5;44.5;45.2;44.3;43.2;45.0;42.0;38.6;39.5;37.6;37.6;37.3;36.0;31.7;30.5;28.6;29.2;36.0;37.5;25.7;29.8;24.4
2024-10-14;15:11:48;51.0;51.0;;59.1;58.5;35.1;35.5;40.1;46.3;47.9;46.6;47.6;45.9;46.5;50.2;47.0;45.5;45.2;42.9;43.6;45.4;43.4;40.2;40.9;38.8;38.0;36.4;34.9;32.4;32.2;34.2;39.2;38.6;31.5;26.7;30.9;24.4;29.5;32.7;40.1;42.9;46.9;45.2;47.6;45.9;46.5;46.0;47.0;44.5;45.2;42.9;43.2;45.0;42.0;38.6;39.5;37.6;37.6;36.4;34.9;31.7;30.5;28.6;29.2;36.0;31.5;25.7;29.8;24.4
2024-10-14;15:11:49;51.3;52.2;;59.0;58.4;38.1;39.0;43.9;41.9;48.6;45.7;48.5;46.3;45.1;45.9;45.1;46.3;43.2;42.1;45.9;45.8;43.7;40.6;40.1;40.1;38.8;39.3;39.3;36.2;41.0;34.5;35.5;37.0;38.4;38.2;43.5;37.9;29.5;32.7;40.1;41.9;46.9;45.2;47.6;45.9;45.1;45.9;45.1;44.5;43.2;42.1;43.2;45.0;42.0;38.6;39.5;37.6;37.6;36.4;34.9;31.7;30.5;28.6;29.2;36.0;31.5;25.7;29.8;24.4
