Description: 
Condition: Indoor with open windows
Environment: Urban
Source: Voice
Weather: Cloudy
Feeling: Good
Appropriate: Perfectly
Reason: Study
Coordinates: -23.560219,-46.729836
Calibration: 24 dBA
Measure start: 2024-10-14 15:06:30
Measure stop: 2024-10-14 15:07:31
Duration: 00:01:01
LAeq(t): 59.2 dBA
Cloud: Yes
===



Date;Time;LAeq(t);LAeq(1s);Marker;LZeq(t);LZeq(1s);LZeq_16;LZeq_20;LZeq_25;LZeq_31.5;LZeq_40;LZeq_50;LZeq_63;LZeq_80;LZeq_100;LZeq_125;LZeq_160;LZeq_200;LZeq_250;LZeq_315;LZeq_400;LZeq_500;LZeq_630;LZeq_800;LZeq_1000;LZeq_1250;LZeq_1600;LZeq_2000;LZeq_2500;LZeq_3150;LZeq_4000;LZeq_5000;LZeq_6300;LZeq_8000;LZeq_10000;LZeq_12500;LZeq_16000;LZeq_20000;LZmin_16;LZmin_20;LZmin_25;LZmin_31.5;LZmin_40;LZmin_50;LZmin_63;LZmin_80;LZmin_100;LZmin_125;LZmin_160;LZmin_200;LZmin_250;LZmin_315;LZmin_400;LZmin_500;LZmin_630;LZmin_800;LZmin_1000;LZmin_1250;LZmin_1600;LZmin_2000;LZmin_2500;LZmin_3150;LZmin_4000;LZmin_5000;LZmin_6300;LZmin_8000;LZmin_10000;LZmin_12500;LZmin_16000;LZmin_20000
2024-10-14;15:06:30;62.1;62.3;START;65.0;65.0;28.0;36.3;38.2;37.2;43.8;44.7;48.3;49.2;47.3;50.8;48.8;51.5;56.3;54.1;55.2;54.1;52.4;52.2;51.5;55.0;55.6;44.3;42.7;44.5;41.7;36.0;34.5;33.2;23.3;19.0;21.0;17.4;28.0;36.3;38.2;37.2;43.8;44.7;48.3;49.2;47.3;50.8;48.8;51.5;56.3;54.1;55.2;54.1;52.4;52.2;51.5;55.0;55.6;44.3;42.7;44.5;41.7;36.0;34.5;33.2;23.3;19.0;21.0;17.4
2024-10-14;15:06:31;61.5;60.7;;64.7;64.5;30.0;32.3;38.4;38.5;44.0;47.7;48.2;50.5;46.7;48.8;51.4;51.7;54.1;52.8;55.9;57.1;53.9;51.8;49.1;50.3;49.0;45.9;43.3;41.8;39.0;37.0;36.4;34.9;25.8;22.6;27.1;20.3;28.0;32.3;38.2;37.2;43.8;44.7;48.2;49.2;46.7;48.8;48.8;51.5;54.1;52.8;55.2;54.1;52.4;51.8;49.1;50.3;49.0;44.3;42.7;41.8;39.0;36.0;34.5;33.2;23.3;19.0;21.0;17.4
2024-10-14;15:06:32;61.1;60.3;;64.6;64.4;31.6;34.4;40.6;44.8;45.6;47.6;47.2;50.0;48.2;48.4;50.6;52.8;55.5;53.9;55.6;54.5;55.2;51.4;49.0;48.3;47.3;46.2;43.1;42.5;42.0;37.6;36.7;34.5;24.0;18.7;21.7;15.3;28.0;32.3;38.2;37.2;43.8;44.7;47.2;49.2;46.7;48.4;48.8;51.5;54.1;52.8;55.2;54.1;52.4;51.4;49.0;48.3;47.3;44.3;42.7;41.8;39.0;36.0;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:33;61.1;61.1;;64.8;65.4;32.1;40.7;45.4;47.2;47.2;47.0;49.6;50.7;47.7;46.8;52.6;54.0;53.4;53.1;59.4;56.8;53.8;50.8;49.1;49.8;48.4;45.6;43.5;43.4;39.0;36.1;37.5;35.0;25.4;20.6;22.9;17.6;28.0;32.3;38.2;37.2;43.8;44.7;47.2;49.2;46.7;46.8;48.8;51.5;53.4;52.8;55.2;54.1;52.4;50.8;49.0;48.3;47.3;44.3;42.7;41.8;39.0;36.0;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:34;60.8;59.4;;64.5;63.2;34.3;39.9;41.2;44.8;45.2;46.7;48.8;45.6;45.7;46.8;50.8;51.0;53.4;52.1;52.8;54.3;54.3;50.6;48.4;49.3;46.3;44.1;42.8;42.0;38.8;36.6;36.3;34.5;25.9;20.6;24.1;18.6;28.0;32.3;38.2;37.2;43.8;44.7;47.2;45.6;45.7;46.8;48.8;51.0;53.4;52.1;52.8;54.1;52.4;50.6;48.4;48.3;46.3;44.1;42.7;41.8;38.8;36.0;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:35;60.6;59.5;;64.4;63.8;34.1;39.2;39.5;44.9;44.5;46.6;50.4;47.2;50.5;49.4;53.0;50.5;52.9;52.7;54.7;55.0;53.1;52.2;48.7;46.4;45.9;44.2;43.1;41.5;38.0;36.4;37.9;35.0;26.3;20.1;23.2;17.1;28.0;32.3;38.2;37.2;43.8;44.7;47.2;45.6;45.7;46.8;48.8;50.5;52.9;52.1;52.8;54.1;52.4;50.6;48.4;46.4;45.9;44.1;42.7;41.5;38.0;36.0;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:36;60.5;59.5;;64.3;63.4;32.0;37.4;40.9;40.5;43.1;45.6;47.8;47.1;46.7;48.2;50.5;51.4;53.3;53.9;55.1;54.2;52.2;50.9;49.0;47.9;47.5;44.2;43.0;42.1;39.7;39.7;39.5;37.8;28.4;25.0;29.8;20.4;28.0;32.3;38.2;37.2;43.1;44.7;47.2;45.6;45.7;46.8;48.8;50.5;52.9;52.1;52.8;54.1;52.2;50.6;48.4;46.4;45.9;44.1;42.7;41.5;38.0;36.0;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:37;60.3;58.5;;64.1;62.5;30.5;36.2;37.5;41.7;40.2;44.0;46.4;42.2;46.9;46.5;48.8;51.8;51.9;52.7;55.2;53.6;51.9;50.1;47.5;46.8;45.3;42.9;41.5;40.2;38.0;35.3;36.2;33.2;24.6;21.6;23.9;19.8;28.0;32.3;37.5;37.2;40.2;44.0;46.4;42.2;45.7;46.5;48.8;50.5;51.9;52.1;52.8;53.6;51.9;50.1;47.5;46.4;45.3;42.9;41.5;40.2;38.0;35.3;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:38;60.2;58.9;;64.0;63.0;31.0;31.2;38.6;38.7;45.8;44.8;46.5;40.2;44.4;48.6;49.0;49.5;55.0;53.3;55.4;53.5;52.3;49.8;46.2;48.5;46.4;42.9;41.1;40.8;37.8;36.4;37.7;35.3;25.1;20.2;21.9;17.2;28.0;31.2;37.5;37.2;40.2;44.0;46.4;40.2;44.4;46.5;48.8;49.5;51.9;52.1;52.8;53.5;51.9;49.8;46.2;46.4;45.3;42.9;41.1;40.2;37.8;35.3;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:39;60.1;59.6;;63.9;63.3;33.2;37.5;41.3;41.0;42.6;45.4;47.0;45.0;43.9;46.8;48.6;53.2;53.9;52.0;56.2;53.6;51.5;48.6;48.0;48.5;47.6;46.7;46.5;44.7;42.1;37.5;37.1;33.3;24.6;20.2;22.6;18.3;28.0;31.2;37.5;37.2;40.2;44.0;46.4;40.2;43.9;46.5;48.6;49.5;51.9;52.0;52.8;53.5;51.5;48.6;46.2;46.4;45.3;42.9;41.1;40.2;37.8;35.3;34.5;33.2;23.3;18.7;21.0;15.3
2024-10-14;15:06:40;60.0;59.0;;63.8;62.8;29.4;35.4;40.9;39.4;43.5;44.5;47.9;41.1;44.1;47.2;49.0;50.3;50.3;53.5;56.7;52.4;53.0;48.5;47.8;47.4;47.2;44.2;43.9;41.4;39.2;35.4;34.5;32.2;24.1;18.9;20.5;16.2;28.0;31.2;37.5;37.2;40.2;44.0;46.4;40.2;43.9;46.5;48.6;49.5;50.3;52.0;52.8;52.4;51.5;48.5;46.2;46.4;45.3;42.9;41.1;40.2;37.8;35.3;34.5;32.2;23.3;18.7;20.5;15.3
2024-10-14;15:06:41;60.4;63.5;;64.0;65.4;32.0;31.4;38.7;37.9;44.4;43.9;41.9;44.4;43.0;45.6;48.2;49.7;53.5;54.2;58.1;55.8;54.0;54.1;52.8;54.3;56.4;51.4;46.4;44.7;44.7;38.4;36.2;34.6;25.3;20.9;22.2;19.3;28.0;31.2;37.5;37.2;40.2;43.9;41.9;40.2;43.0;45.6;48.2;49.5;50.3;52.0;52.8;52.4;51.5;48.5;46.2;46.4;45.3;42.9;41.1;40.2;37.8;35.3;34.5;32.2;23.3;18.7;20.5;15.3
2024-10-14;15:06:42;60.6;62.0;;64.0;64.6;29.2;34.1;38.5;38.7;44.1;43.5;47.2;40.8;43.4;48.3;50.1;50.4;54.9;52.0;55.0;56.8;55.3;51.6;52.8;52.0;53.3;47.4;43.2;43.0;42.4;36.1;35.1;33.2;25.7;22.4;23.1;21.4;28.0;31.2;37.5;37.2;40.2;43.5;41.9;40.2;43.0;45.6;48.2;49.5;50.3;52.0;52.8;52.4;51.5;48.5;46.2;46.4;45.3;42.9;41.1;40.2;37.8;35.3;34.5;32.2;23.3;18.7;20.5;15.3
2024-10-14;15:06:43;60.5;59.6;;64.0;63.0;29.5;32.9;38.7;35.3;40.7;45.3;44.5;43.8;42.9;48.7;49.2;49.1;53.6;52.2;54.5;54.3;53.1;50.0;49.9;50.6;49.0;43.4;42.0;40.8;38.0;34.4;34.4;33.1;24.1;19.9;20.7;17.7;28.0;31.2;37.5;35.3;40.2;43.5;41.9;40.2;42.9;45.6;48.2;49.1;50.3;52.0;52.8;52.4;51.5;48.5;46.2;46.4;45.3;42.9;41.1;40.2;37.8;34.4;34.4;32.2;23.3;18.7;20.5;15.3
2024-10-14;15:06:44;60.4;59.2;;64.0;63.7;28.0;33.6;34.7;35.4;43.0;44.9;47.1;44.9;43.9;49.1;51.8;54.4;52.6;55.7;55.7;52.6;53.4;49.6;47.6;46.6;46.2;44.5;42.0;41.6;40.0;36.5;37.1;35.1;24.7;18.9;21.6;15.2;28.0;31.2;34.7;35.3;40.2;43.5;41.9;40.2;42.9;45.6;48.2;49.1;50.3;52.0;52.8;52.4;51.5;48.5;46.2;46.4;45.3;42.9;41.1;40.2;37.8;34.4;34.4;32.2;23.3;18.7;20.5;15.2
2024-10-14;15:06:45;60.3;58.2;;63.9;62.3;29.4;29.2;38.4;42.3;44.0;47.3;46.2;41.8;44.5;50.0;48.8;50.0;52.4;51.8;53.6;53.3;51.8;50.8;47.7;46.4;44.6;43.1;40.5;39.9;37.5;34.4;34.1;31.5;24.9;19.1;20.2;16.3;28.0;29.2;34.7;35.3;40.2;43.5;41.9;40.2;42.9;45.6;48.2;49.1;50.3;51.8;52.8;52.4;51.5;48.5;46.2;46.4;44.6;42.9;40.5;39.9;37.5;34.4;34.1;31.5;23.3;18.7;20.2;15.2
2024-10-14;15:06:46;60.3;60.4;;63.9;64.2;36.2;39.1;41.2;39.5;44.5;44.5;44.3;42.0;44.8;47.8;52.6;52.2;54.2;54.6;56.2;54.9;54.0;52.9;49.4;48.7;48.1;44.3;42.1;40.7;40.7;38.4;37.1;34.4;26.1;22.2;23.0;20.5;28.0;29.2;34.7;35.3;40.2;43.5;41.9;40.2;42.9;45.6;48.2;49.1;50.3;51.8;52.8;52.4;51.5;48.5;46.2;46.4;44.6;42.9;40.5;39.9;37.5;34.4;34.1;31.5;23.3;18.7;20.2;15.2
